WKT	OBJECTID	dip	strike
"POINT (312666.9389000004 7618795.474)"	"242"	"30.0"	"309.0"
"POINT (317399.4204000002 7615263.5096)"	"243"	"50.0"	"185.0"
"POINT (317584.8443 7613897.0136)"	"244"	"8.0"	"240.0"
"POINT (317862.2792999996 7613663.0156)"	"245"	"12.0"	"323.0"
"POINT (316440.8938999996 7612378.5114)"	"246"	"25.0"	"290.0"
"POINT (315272.4243999999 7612003.507)"	"247"	"15.0"	"304.0"
"POINT (315161.5924000004 7613456.0019)"	"248"	"10.0"	"330.0"
"POINT (314098.2479999997 7613216.4972)"	"249"	"16.0"	"280.0"
"POINT (300404.5289000003 7610723.9351)"	"250"	"5.0"	"353.0"
"POINT (314591.9234999996 7607958.025)"	"251"	"50.0"	"289.0"
"POINT (300880.7170000002 7605280.4423)"	"252"	"10.0"	"278.0"
"POINT (300816.2472999999 7605074.442)"	"253"	"5.0"	"305.0"
"POINT (308218.6869999999 7609631.9755)"	"254"	"6.0"	"350.0"
"POINT (308114.0508000003 7608097.9804)"	"255"	"12.0"	"346.0"
"POINT (306478.8437999999 7601515.0023)"	"256"	"10.0"	"317.0"
"POINT (308867.1350999996 7599500.0187)"	"257"	"20.0"	"346.0"
"POINT (315985.7182999998 7603571.5626)"	"258"	"15.0"	"198.0"
"POINT (319092.6990999999 7597145.0786)"	"259"	"22.0"	"226.0"
"POINT (318510.2028999999 7596838.0704)"	"260"	"45.0"	"208.0"
"POINT (319491.8957000002 7612884.0167)"	"261"	"35.0"	"299.0"
"POINT (315477.5992000001 7607055.5354)"	"262"	"80.0"	"356.0"
"POINT (316486.7384000001 7602811.0721)"	"263"	"26.0"	"358.0"
"POINT (314742.3808000004 7610250.0113)"	"264"	"10.0"	"303.0"
"POINT (330197.8128000004 7591756.9093)"	"265"	"45.0"	"306.0"
"POINT (317763.6184 7613196.0161)"	"266"	"75.0"	"213.0"
"POINT (326085.4183999998 7596665.5294)"	"267"	"30.0"	"325.0"
"POINT (306966.9282 7649584.9239)"	"268"	"10.0"	"329.0"
"POINT (327307.8060999997 7646467.8942)"	"269"	"40.0"	"336.0"
"POINT (319939.3055999996 7627337.9383)"	"270"	"10.0"	"336.0"
"POINT (319557.2103000004 7626672.9427)"	"271"	"5.0"	"340.0"
"POINT (319672.0856999997 7625777.9511)"	"272"	"30.0"	"324.0"
"POINT (328707.6637000004 7626676.4083)"	"273"	"70.0"	"114.0"
"POINT (332740.7432000004 7622294.879)"	"274"	"45.0"	"339.0"
"POINT (333129.0548999999 7622124.8758)"	"275"	"35.0"	"321.0"
"POINT (332702.6223999998 7624771.8777)"	"276"	"37.0"	"350.0"
"POINT (332063.0612000003 7624942.3828)"	"277"	"38.0"	"350.0"
"POINT (331862.0614 7624873.3845)"	"278"	"39.0"	"350.0"
"POINT (331658.6898999996 7626600.8848)"	"279"	"45.0"	"345.0"
"POINT (331367.0668000001 7627378.8864)"	"280"	"65.0"	"349.0"
"POINT (331232.6611000001 7627761.3873)"	"281"	"80.0"	"3.0"
"POINT (330862.9124999996 7629076.8894)"	"282"	"70.0"	"354.0"
"POINT (330537.6946 7629628.8916)"	"283"	"55.0"	"0.0"
"POINT (329936.7903000005 7631796.8948)"	"284"	"40.0"	"340.0"
"POINT (330178.6645999998 7631058.3935)"	"285"	"40.0"	"343.0"
"POINT (332461.0045999996 7631228.8763)"	"286"	"32.0"	"49.0"
"POINT (333098.2534999996 7631118.3716)"	"287"	"35.0"	"251.0"
"POINT (333040.0346999997 7630927.8721)"	"288"	"65.0"	"182.0"
"POINT (332721.3482999997 7631755.3741)"	"289"	"40.0"	"331.0"
"POINT (335459.6487999996 7630310.3462)"	"290"	"40.0"	"205.0"
"POINT (334670.2810000004 7632093.3571)"	"291"	"60.0"	"295.0"
"POINT (335589.6491 7631430.3444)"	"292"	"15.0"	"310.0"
"POINT (339140.0368999997 7634392.2969)"	"293"	"70.0"	"320.0"
"POINT (338608.0416999999 7635310.8041)"	"294"	"50.0"	"328.0"
"POINT (334973.5980000002 7637668.3515)"	"295"	"30.0"	"316.0"
"POINT (334315.5999999996 7636056.3605)"	"296"	"70.0"	"138.0"
"POINT (331927.9764999999 7634126.3789)"	"297"	"40.0"	"334.0"
"POINT (329160.6374000004 7635069.8984)"	"298"	"40.0"	"339.0"
"POINT (328795.8565999996 7636417.8993)"	"299"	"45.0"	"335.0"
"POINT (328075.3803000003 7640234.8979)"	"300"	"80.0"	"335.0"
"POINT (333132.3864000002 7641059.8667)"	"301"	"70.0"	"134.0"
"POINT (327416.7115000002 7643887.3948)"	"302"	"40.0"	"340.0"
"POINT (327547.3688000003 7643463.3949)"	"303"	"37.0"	"335.0"
"POINT (318354.6560000004 7675178.7211)"	"304"	"70.0"	"325.0"
"POINT (320329.1161000002 7671554.7241)"	"305"	"60.0"	"330.0"
"POINT (324719.4321999997 7659638.8624)"	"306"	"40.0"	"342.0"
"POINT (324679.7428000001 7658233.3785)"	"307"	"60.0"	"328.0"
"POINT (341972.6655999999 7660480.6606)"	"308"	"80.0"	"304.0"
"POINT (343209.2581000002 7659232.17)"	"309"	"80.0"	"297.0"
"POINT (342322.4439000003 7658941.6799)"	"310"	"75.0"	"111.0"
"POINT (343563.6946 7658112.6825)"	"311"	"85.0"	"300.0"
"POINT (342808.6613999996 7657835.6917)"	"312"	"80.0"	"303.0"
"POINT (342778.7224000003 7657055.7025)"	"313"	"65.0"	"112.0"
"POINT (343369.9742999999 7657230.6956)"	"314"	"70.0"	"342.0"
"POINT (342357.9079 7656636.2115)"	"315"	"40.0"	"313.0"
"POINT (344237.6267999997 7653819.2261)"	"316"	"50.0"	"299.0"
"POINT (344146.4063999997 7653418.7296)"	"317"	"30.0"	"101.0"
"POINT (317616.4062999999 7676282.2277)"	"318"	"50.0"	"319.0"
"POINT (296529.8426999999 7675670.2609)"	"319"	"30.0"	"181.0"
"POINT (296805.9380000001 7676087.2589)"	"320"	"30.0"	"163.0"
"POINT (293858.4622 7675338.27)"	"321"	"5.0"	"269.0"
"POINT (293057.3699000003 7676291.2694)"	"322"	"5.0"	"263.0"
"POINT (292339.1163999997 7675514.7741)"	"323"	"8.0"	"210.0"
"POINT (292875.5751999998 7671866.784)"	"324"	"5.0"	"258.0"
"POINT (297930.3370000003 7672660.7668)"	"325"	"7.0"	"189.0"
"POINT (297612.6172000002 7672449.2669)"	"326"	"5.0"	"291.0"
"POINT (297894.9293999998 7672148.2682)"	"327"	"5.0"	"241.0"
"POINT (296624.6716 7670097.2779)"	"328"	"5.0"	"203.0"
"POINT (296709.4824999999 7669441.2806)"	"329"	"5.0"	"185.0"
"POINT (293284.4145 7670036.7872)"	"330"	"8.0"	"312.0"
"POINT (292905.1311999997 7669570.7891)"	"331"	"10.0"	"136.0"
"POINT (294456.3792000003 7667700.7906)"	"332"	"20.0"	"141.0"
"POINT (294355.7847999996 7667526.7912)"	"333"	"18.0"	"295.0"
"POINT (295905.1935999999 7667208.2909)"	"334"	"40.0"	"313.0"
"POINT (295735.0679000001 7667107.7914)"	"335"	"15.0"	"160.0"
"POINT (296967.5412999997 7667820.7873)"	"336"	"20.0"	"228.0"
"POINT (297317.0993999997 7665897.296)"	"337"	"5.0"	"245.0"
"POINT (296013.9671 7664591.3107)"	"338"	"10.0"	"156.0"
"POINT (296303.6209000004 7663713.8235)"	"339"	"10.0"	"156.0"
"POINT (297184.3095000004 7663471.8318)"	"340"	"10.0"	"175.0"
"POINT (293852.7159000002 7665619.7965)"	"341"	"23.0"	"180.0"
"POINT (294293.4044000003 7665642.7964)"	"342"	"15.0"	"172.0"
"POINT (296747.4267999995 7661563.357)"	"343"	"47.0"	"168.0"
"POINT (297315.1798 7662057.355)"	"344"	"5.0"	"177.0"
"POINT (297717.0535000004 7661464.8687)"	"345"	"10.0"	"170.0"
"POINT (298185.7092000004 7661073.8806)"	"346"	"15.0"	"182.0"
"POINT (298491.7401000001 7660856.388)"	"347"	"25.0"	"166.0"
"POINT (295129.1127000004 7662147.3343)"	"348"	"15.0"	"176.0"
"POINT (300211.4896 7659846.4207)"	"349"	"5.0"	"171.0"
"POINT (300632.4897999996 7659634.9253)"	"350"	"8.0"	"174.0"
"POINT (300688.9568999996 7658857.923)"	"351"	"5.0"	"174.0"
"POINT (298036.9856000002 7659538.3921)"	"352"	"20.0"	"200.0"
"POINT (297728.2659 7659352.8875)"	"353"	"5.0"	"221.0"
"POINT (297471.1712999996 7659177.3838)"	"354"	"30.0"	"164.0"
"POINT (297456.5767000001 7658809.8824)"	"355"	"40.0"	"165.0"
"POINT (297829.1683999998 7657543.8821)"	"356"	"8.0"	"137.0"
"POINT (298559.7949000001 7657705.8919)"	"357"	"8.0"	"228.0"
"POINT (301372.5798000004 7657437.4262)"	"358"	"20.0"	"158.0"
"POINT (302802.8926999997 7656669.9412)"	"359"	"10.0"	"103.0"
"POINT (302975.2665999997 7656063.4398)"	"360"	"30.0"	"164.0"
"POINT (303551.7028999999 7655124.9353)"	"361"	"25.0"	"166.0"
"POINT (303677.2956999997 7654392.4335)"	"362"	"20.0"	"159.0"
"POINT (303356.8263999997 7654040.4337)"	"363"	"3.0"	"337.0"
"POINT (303101.8570999997 7653602.4338)"	"364"	"10.0"	"197.0"
"POINT (303888.5771000003 7652997.9321)"	"365"	"20.0"	"158.0"
"POINT (305242.2671999997 7651815.9289)"	"366"	"20.0"	"158.0"
"POINT (301100.3208999997 7649556.4215)"	"367"	"65.0"	"149.0"
"POINT (300924.3518000003 7649545.9206)"	"368"	"75.0"	"190.0"
"POINT (299552.1640999997 7653652.8968)"	"369"	"5.0"	"210.0"
